tag1,tag2,tag3,tag4,tag5,tag6,ch,2018,2019,2020,2021,2022,2023,2024,2025
@,首都机场线,,,,,2号航站楼,Terminal 2,Terminal 2,Terminal 2,2 Hɑo Hɑngzhɑnlou (Terminal 2),2 Hao Hangzhanlou (Terminal 2),2 Hao Hangzhanlou (Terminal 2),2 Hao Hangzhanlou (Terminal 2),2 Hao Hangzhanlou (Terminal 2)
@,首都机场线,,,,,3号航站楼,Terminal 3,Terminal 3,Terminal 3,3 Hɑo Hɑngzhɑnlou (Terminal 3),3 Hao Hangzhanlou (Terminal 3),3 Hao Hangzhanlou (Terminal 3),3 Hao Hangzhanlou (Terminal 3),3 Hao Hangzhanlou (Terminal 3)
A,8号线,,,,,安德里北街,ANDELIBEIJIE,ANDELIBEIJIE,Andeli Beijie,Andeli Beijie,Andeli Beijie,Andeli Beijie,Andeli Beijie,Andeli Beijie
A,2号线,,,,,安定门,ANDINGMEN,ANDINGMEN,Anding Men,Andingmen,Anding Men,Anding Men,Anding Men,Anding Men
A,4号线大兴线,,,,,安河桥北,ANHEQIAO North,ANHEQIAO North,Anheqiao Bei (N),Anheqiɑobei,Anheqiao Bei (N),Anheqiao Bei (N),Anheqiao Bei (N),Anheqiao Bei (N)
A,8号线,12号线,,,,安华桥,ANHUAQIAO,ANHUAQIAO,Anhua Qiao,Anhuɑqiɑo,Anhua Qiao,Anhua Qiao,Anhua Qiao,Anhua Qiao
A,15号线,,,,,安立路,ANLILU,ANLILU,Anli Lu,Anli Lu,Anli Lu,Anli Lu,Anli Lu,Anli Lu
A,10号线,,,,,安贞门,ANZHENMEN,ANZHENMEN,Anzhen Men,Anzhenmen,Anzhenmen,Anzhenmen,Anzhenmen,Anzhenmen
A,12号线,,,,,安贞桥,\,\,\,\,\,\,Anzhen Qiao,Anzhen Qiao
A,8号线,15号线,,,,奥林匹克公园,Olympic Green,Olympic Green,Olympic Park,Aolinpike Gongyuɑn (Olympic Park),Aolinpike Gongyuan (Olympic Park),Aolinpike Gongyuan (Olympic Park),Aolinpike Gongyuan (Olympic Park),Aolinpike Gongyuan (Olympic Park)
A,8号线,,,,,奥体中心,Olympic Sports Center,Olympic Sports Center,Olympic Sports Center,Aoti Zhongxin (Olympic Sports Center),Aoti Zhongxin (Olympic Sports Center),Aoti Zhongxin (Olympic Sports Center),Aoti Zhongxin (Olympic Sports Center),Aoti Zhongxin (Olympic Sports Center)
B,1号线八通线,,,,,八宝山,BABAOSHAN,BABAOSHAN,Babaoshan,Bɑbɑoshɑn,Babaoshan,Babaoshan,Babaoshan,Babaoshan
B,1号线八通线,,,,,八角游乐园,BAJIAO Amusement Park,BAJIAO Amusement Park,Bajiao Amusement Park,Bɑjiɑo Youleyuɑn,Bajiao Amusement Park,Bajiao Amusement Park,Bajiao Amusement Park,Bajiao Amusement Park
B,1号线八通线,,,,,八里桥,BALIQIAO,Ba Li Qiao,Bali Qiao,Bɑliqiɑo,Bali Qiao,Bali Qiao,Bali Qiao,Bali Qiao
B,10号线,西郊线,,,,巴沟,BAGOU,BAGOU,Bagou,Bɑgou,Bagou,Bagou,Bagou,Bagou
B,9号线,,,,,白堆子,BAIDUIZI,BAIDUIZI,Baiduizi,Bɑiduizi,Baiduizi,Baiduizi,Baiduizi,Baiduizi
B,房山线,,,,,白盆窑,\,\,Baipenyao,Bɑipenyɑo,Baipenyao,Baipenyao,Baipenyao,Baipenyao
B,6号线,9号线,,,,白石桥南,BAISHIQIAO South,BAISHIQIAO South,Baishiqiao Nan (S),Bɑishiqiɑonɑn,Baishiqiaonan,Baishiqiaonan,Baishiqiaonan,Baishiqiaonan
B,7号线,,,,,百子湾,BAIZIWAN,Bai Zi Wan,Baiziwan,Bɑiziwɑn,Baiziwan,Baiziwan,Baiziwan,Baiziwan
B,16号线,,,,,北安河,BEIANHE,BEIANHE,Bei'anhe,Bei'ɑnhe,Bei'anhe,Bei'anhe,Bei'anhe,Bei'anhe
B,14号线,,,,,北工大西门,BEIGONGDA XIMEN,BEIGONGDA XIMEN,Beijing Univ. of Tech. West Gate,Beigongdɑ Ximen (Beijing Univ. of Tech. West Gate),Beijing Univ. of Tech. West Gate,Beijing Univ. of Tech. West Gate,Beijing Univ. of Tech. West Gate,Beijing Univ. of Tech. West Gate
B,4号线大兴线,,,,,北宫门,BEIGONGMEN,BEIGONGMEN,Beigongmen,Beigongmen,Beigongmen,Beigongmen,Beigongmen,Beigongmen
B,6号线,,,,,北海北,BEIHAI North,BEIHAI North,Beihai Bei (N),Beihɑibei,Beihai Bei (N),Beihai Bei (N),Beihai Bei (N),Beihai Bei (N)
B,4号线大兴线,,,,,北京大学东门,East Gate of Peking University,East Gate of Peking University,Peking Univ. East Gate,Beijing Dɑxue Dongmen (Peking Univ. East Gate),Peking Univ. East Gate,Peking Univ. East Gate,Peking Univ. East Gate,Peking Univ. East Gate
B,4号线大兴线,14号线,,,,北京南站,Beijing South Railway Station,Beijing South Railway Station,Beijing South Railway Station,Beijingnɑn Zhɑn (Beijing South Railway Station),Beijingnan Zhan (Beijing South Railway Station),Beijingnan Zhan (Beijing South Railway Station),Beijingnan Zhan (Beijing South Railway Station),Beijingnan Zhan (Beijing South Railway Station)
B,7号线,9号线,,,,北京西站,Beijing West Railway Station,Beijing West Railway Station,Beijing West Railway Station,Beijingxi Zhɑn (Beijing West Railway Station),Beijingxi Zhan (Beijing West Railway Station),Beijingxi Zhan (Beijing West Railway Station),Beijingxi Zhan (Beijing West Railway Station),Beijingxi Zhan (Beijing West Railway Station)
B,2号线,,,,,北京站,Beijing Railway Station,Beijing Railway Station,Beijing Railway Station,Beijing Zhɑn (Beijing Railway Station),Beijing Zhan (Beijing Railway Station),Beijing Zhan (Beijing Railway Station),Beijing Zhan (Beijing Railway Station),Beijing Zhan (Beijing Railway Station)
B,15号线,,,,,北沙滩,BEISHATAN,BEISHATAN,Beishatan,Beishɑtɑn,Beishatan,Beishatan,Beishatan,Beishatan
B,昌平线,,,,,北邵洼,BEISHAOWA,BEISHAOWA,Beishaowa,Beishɑowɑ,Beishaowa,Beishaowa,Beishaowa,Beishaowa
B,17号线,,,,,北神树,\,\,\,Beishenshu,Beishenshu,Beishenshu,Beishenshu,Beishenshu
B,12号线,19号线,,,,北太平庄,\,\,\,Beitɑipingzhuɑng,Beitaipingzhuang,Beitaipingzhuang,Beitaipingzhuang,Beitaipingzhuang
B,8号线,10号线,,,,北土城,BEITUCHENG,BEITUCHENG,Beitucheng,Beitucheng,Beitucheng,Beitucheng,Beitucheng,Beitucheng
B,11号线,,,,,北辛安,\,\,\,Beixin'ɑn,Beixin'an,Beixin'an,Beixin'an,Beixin'an
B,5号线,首都机场线,,,,北新桥,BEIXINQIAO,BEIXINQIAO,Beixinqiao,Beixinqiɑo,Beixinqiao,Beixinqiao,Beixinqiao,Beixinqiao
B,13号线,,,,,北苑,BEIYUAN,BEIYUAN,Bei Yuan,Beiyuɑn,Bei Yuan,Bei Yuan,Bei Yuan,Bei Yuan
