ch,2026
张洼,张洼
兴华苑,兴华苑
瑶海公园,瑶海公园
合肥火车站,合肥火车站
长淮,长淮
明光路,明光路
大东门,大东门
包公园,包公园
合工大南区,合工大南区
朱岗,朱岗
秋浦河路,秋浦河路
葛大店,葛大店
望湖城,望湖城
合肥南站,合肥南站
南站南广场,南站南广场
骆岗,骆岗
高王,高王
滨湖会展中心,滨湖会展中心
紫庐,紫庐
塘西河公园,塘西河公园
金斗公园,金斗公园
云谷路,云谷路
万达城,万达城
万年埠,万年埠
丙子铺,丙子铺
九联圩,九联圩
南岗,南岗
桂庄,桂庄
汽车西站,汽车西站
振兴路,振兴路
蜀山西,蜀山西
大蜀山,大蜀山
天柱路,天柱路
科学大道,科学大道
十里庙,十里庙
西七里塘,西七里塘
五里墩,五里墩
三里庵,三里庵
安农大,安农大
三孝口,三孝口
四牌楼,四牌楼
三里街,三里街
东五里井,东五里井
东七里,东七里
漕冲,漕冲
东二十埠,东二十埠
龙岗,龙岗
王岗,王岗
三十埠,三十埠
三十埠东,三十埠东
祥和,祥和
桂王,桂王
对河,对河
店埠河,店埠河
排头,排头
肥东站,肥东站
和睦湖,和睦湖
马桥,马桥
南沙河,南沙河
撮镇,撮镇
相城路,相城路
职教城东,职教城东
职教城,职教城
幼儿师范,幼儿师范
文浍苑,文浍苑
勤劳村,勤劳村
新海大道,新海大道
窦桥湾,窦桥湾
方庙,方庙
竹丝滩,竹丝滩
鸭林冲,鸭林冲
淮南路,淮南路
一里井,一里井
海棠,海棠
郑河,郑河
四泉桥,四泉桥
杏花村,杏花村
合肥西站,合肥西站
南新庄,南新庄
国防科技大学,国防科技大学
洪岗,洪岗
市政务中心,市政务中心
合肥大剧院,合肥大剧院
图书馆,图书馆
省博物馆,省博物馆
安医大二附院,安医大二附院
繁华大道,繁华大道
大学城北,大学城北
工大翡翠湖校区,工大翡翠湖校区
安大磬苑校区,安大磬苑校区
幸福坝,幸福坝
肥西人民医院,肥西人民医院
凉亭,凉亭
李湾,李湾
四十埠,四十埠
芮祠,芮祠
乐平,乐平
省儿童医院新区,省儿童医院新区
馆驿,馆驿
综保区,综保区
安医一附院北区,安医一附院北区
陶冲湖东,陶冲湖东
十里村,十里村
新海公园,新海公园
站塘,站塘
唐桥,唐桥
五里庙,五里庙
尧渡河路,尧渡河路
工经学院,工经学院
葛大店南,葛大店南
望湖城南,望湖城南
淝南,淝南
竹西,竹西
薛河,薛河
南屏路,南屏路
姚公庙,姚公庙
天鹅湖东,天鹅湖东
天鹅湖,天鹅湖
柳树塘,柳树塘
金桂,金桂
玉兰大道,玉兰大道
北雁湖,北雁湖
复兴集,复兴集
长安集,长安集
桃花潭,桃花潭
金小郢,金小郢
铜锣寨路,铜锣寨路
魏庄,魏庄
烧脉岗,烧脉岗
紫云湖,紫云湖
汲桥路,汲桥路
六中菱湖校区,六中菱湖校区
菱湖公园,菱湖公园
北五里井,北五里井
白水坝,白水坝
杏花公园,杏花公园
稻香楼,稻香楼
中国科大东区,中国科大东区
市第三医院,市第三医院
休宁路,休宁路
凌大塘,凌大塘
望湖城西,望湖城西
盛大,盛大
包河苑,包河苑
义兴,义兴
大连路,大连路
花园大道,花园大道
黄河路,黄河路
扬子江路,扬子江路
义城,义城
省行政中心东,省行政中心东
方兴湖,方兴湖
渡江纪念馆,渡江纪念馆
沈湾,沈湾
华山路,华山路
清水冲,清水冲
云川公园,云川公园
滨湖竹园,滨湖竹园
贵阳路,贵阳路
青龙岗,青龙岗
合肥七中,合肥七中
量子科学中心,量子科学中心
科大先研院,科大先研院
开福寺,开福寺
梦城,梦城
松荫桥,松荫桥
陆军兵种大学,陆军兵种大学
南七里,南七里
卫岗,卫岗
唐大楼,唐大楼
市儿童医院,市儿童医院
市博物馆,市博物馆
钢红,钢红
大兴集,大兴集
伏龙,伏龙
龙塘,龙塘
翡翠公园,翡翠公园
徽园,徽园
明珠广场,明珠广场
天都路,天都路
南艳湖北,南艳湖北
一六八中学,一六八中学
合肥大学,合肥大学
南艳湖南,南艳湖南
要素大市场,要素大市场
滨湖医院,滨湖医院
嵩山路,嵩山路
省文化和非遗馆,省文化和非遗馆
合肥四中,合肥四中
北城高铁站,北城高铁站
省立医院北区,省立医院北区
双墩,双墩
北城世纪城,北城世纪城
梅冲湖,梅冲湖
金梅路,金梅路
双凤,双凤
荷塘路,荷塘路
庐阳经开区,庐阳经开区
杏林,杏林
寿县炎刘,寿县炎刘
寿县经开区,寿县经开区
新桥1号航站楼,新桥1号航站楼
新桥2号航站楼,新桥2号航站楼
迎宾大道,迎宾大道
未来湖,未来湖
长兴湖,长兴湖
未来大科学城,未来大科学城
岗集,岗集
大杨,大杨
庐州公园,庐州公园
省中医院西区,省中医院西区
