ch,2024,2020,2015,2010
人民广场,人民广场,人民广场,人民广场,人民广场
陆家嘴,陆家嘴,陆家嘴,陆家嘴,陆家嘴
南京东路,南京东路,南京东路,南京东路,南京东路
虹桥火车站,虹桥火车站,虹桥火车站,虹桥火车站,虹桥火车站
静安寺,静安寺,静安寺,静安寺,静安寺
徐家汇,徐家汇,徐家汇,徐家汇,徐家汇
上海火车站,上海火车站,上海火车站,上海火车站,上海火车站
上海南站,上海南站,上海南站,上海南站,上海南站
国家会展中心,国家会展中心,徐泾东,徐泾东,徐泾东
莘庄,莘庄,莘庄,莘庄,莘庄
世纪大道,世纪大道,世纪大道,东方路,东方路
龙阳路,龙阳路,龙阳路,龙阳路,龙阳路
浦东国际机场,浦东国际机场,浦东国际机场,浦东国际机场,浦东国际机场
豫园,豫园,豫园,豫园,\
新天地,新天地,新天地,新天地,\
交通大学,交通大学,交通大学,交通大学,\
陕西南路,陕西南路,陕西南路,陕西南路,陕西南路
黄陂南路,黄陂南路,黄陂南路,黄陂南路,黄陂南路
常熟路,常熟路,常熟路,常熟路,常熟路
衡山路,衡山路,衡山路,衡山路,衡山路
漕宝路,漕宝路,漕宝路,漕宝路,漕宝路
锦江乐园,锦江乐园,锦江乐园,锦江乐园,锦江乐园
莲花路,莲花路,莲花路,莲花路,莲花路
水城路,水城路,水城路,水城路,水城路
邮电新村,邮电新村,邮电新村,邮电新村,邮电新村
五角场,五角场,五角场,五角场,五角场
封浜,封浜,封浜,\,\
真光路,真光路,真光路,\,\
曹杨路,曹杨路,曹杨路,曹杨路,曹杨路
武定路,武定路,武定路,\,\
浦东南路,浦东南路,浦东南路,\,\
蓝天路,蓝天路,蓝天路,\,\
虹桥2号航站楼,虹桥2号航站楼,虹桥2号航站楼,虹桥2号航站楼,虹桥2号航站楼
淞虹路,淞虹路,淞虹路,淞虹路,淞虹路
中山公园,中山公园,中山公园,中山公园,中山公园
汉中路,汉中路,汉中路,汉中路,汉中路
新闸路,新闸路,新闸路,新闸路,新闸路
